danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.213,0.0656,7,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023,150147,classical
0.33,0.00357,3,-33.142,1,0.0339,0.995,0.953,0.0989,0.121,100.741,216213,classical
0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,254000,classical
0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,294960,classical
0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,151507,classical
0.339,0.00572,11,-32.309,0,0.0378,0.986,0.923,0.103,0.0616,72.7,198650,classical
0.364,0.00799,8,-33.09,1,0.0395,0.978,0.894,0.109,0.0674,101.226,216093,classical
0.33,0.00274,2,-37.342,0,0.0617,0.992,0.908,0.0668,0.188,61.088,143532,classical
0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427,classical
0.392,0.0536,4,-23.399,1,0.0571,0.995,0.867,0.0808,0.0417,71.286,234467,classical
0.499,0.351,9,-11.509,0,0.0448,0.951,9.94e-05,0.118,0.616,90.664,235947,classical
0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,286987,classical
0.384,0.125,10,-22.4,1,0.0315,0.987,0.929,0.112,0.369,80.185,120741,classical
0.116,0.0011,2,-39.982,1,0.0544,0.988,0.227,0.0991,0.0387,70.332,255960,classical
0.238,0.0747,0,-24.201,0,0.0437,0.95,0.935,0.0978,0.126,117.686,271943,classical
0.205,0.129,7,-18.197,1,0.0595,0.968,0.946,0.101,0.296,136.871,169924,classical
0.46,0.03,1,-22.209,1,0.0697,0.987,0.897,0.0975,0.0535,133.167,261309,classical
0.461,0.0104,6,-31.073,1,0.0655,0.995,0.908,0.0895,0.106,71.494,172107,classical
0.417,0.0287,7,-25.066,1,0.0714,0.994,0.889,0.079,0.285,143.262,264053,classical
0.191,0.0582,8,-25.398,1,0.0578,0.961,0.89,0.0941,0.0454,132.614,357707,classical
0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,203656,classical
0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,241987,classical
0.463,0.155,5,-17.164,1,0.044,0.877,0.261,0.105,0.222,122.437,301720,classical
0.279,0.00461,2,-36.886,0,0.0439,0.989,0.982,0.0638,0.039,69.813,181547,classical
0.103,0.0931,0,-20.732,0,0.0405,0.968,0.871,0.149,0.0355,85.638,197200,classical
0.267,0.0024,1,-42.261,0,0.0531,0.995,0.897,0.0942,0.267,71.428,397773,classical
0.391,0.0939,8,-25.725,0,0.0531,0.982,0.933,0.107,0.101,127.162,142638,classical
0.191,0.0317,9,-35.616,0,0.0407,0.984,0.888,0.0974,0.142,135.974,150733,classical
0.379,0.075,0,-20.328,1,0.0408,0.992,0.913,0.106,0.0353,68.232,241187,classical
0.457,0.0252,3,-35.116,1,0.0621,0.996,0.875,0.0975,0.168,74.137,138840,classical
0.28,0.104,2,-19.802,1,0.0336,0.935,0.866,0.362,0.176,92.628,310000,classical
0.33,0.00922,10,-30.88,1,0.0412,0.993,0.953,0.102,0.0715,133.121,242587,classical
0.124,0.0802,2,-25.99,1,0.045,0.923,0.932,0.16,0.0577,96.644,365000,classical
0.0786,0.227,4,-16.041,0,0.041,0.919,0.924,0.138,0.056,69.884,185440,classical
0.0746,0.0327,0,-27.191,0,0.0412,0.959,0.886,0.087,0.0504,75.083,403333,classical
0.175,0.0385,6,-27.916,0,0.0385,0.931,0.919,0.116,0.0761,81.177,314893,classical
0.42,0.0876,3,-28.052,1,0.0425,0.995,0.9,0.102,0.278,82.496,266213,classical
0.222,0.00847,5,-29.725,1,0.0401,0.992,0.883,0.0912,0.147,67.386,296773,classical
0.393,0.0152,4,-30.793,0,0.0437,0.995,0.906,0.075,0.164,75.084,161293,classical
0.303,0.00958,8,-28.556,1,0.054,0.991,0.953,0.109,0.212,72.204,264845,classical
0.425,0.00472,7,-37.89,1,0.0479,0.996,0.953,0.0985,0.484,81.93,190560,classical
0.0869,0.0587,3,-22.846,1,0.0397,0.929,0.762,0.113,0.0372,86.027,225133,classical
0.456,0.456,11,-16.055,0,0.0535,0.973,0.353,0.186,0.974,144.489,210680,classical
0.07,0.0724,4,-25.949,0,0.0404,0.946,0.896,0.286,0.0369,75.52,327600,classical
0.217,0.159,4,-19.013,0,0.0459,0.961,0.943,0.101,0.0395,104.533,317781,classical
0.326,0.0436,5,-30.607,0,0.0407,0.995,0.908,0.0997,0.458,70.121,248293,classical
0.274,0.167,9,-15.996,1,0.0431,0.634,0.939,0.104,0.0408,113.631,334553,classical
0.235,0.365,7,-13.864,1,0.0356,0.927,0.907,0.17,0.126,91.187,183667,classical
0.149,0.101,2,-19.935,0,0.0342,0.984,0.917,0.184,0.0486,79.567,202000,classical
0.0958,0.322,10,-13.753,0,0.0458,0.159,0.855,0.105,0.0332,87.339,374400,classical
0.377,0.0105,6,-32.994,1,0.0426,0.994,0.895,0.0638,0.0996,76.055,143806,classical
0.175,0.212,6,-14.073,1,0.0374,0.85,0.86,0.0979,0.128,132.026,277853,classical
0.277,0.0148,9,-33.992,1,0.035,0.994,0.917,0.103,0.153,138.564,309600,classical
0.0863,0.201,4,-14.365,0,0.0355,0.915,0.943,0.113,0.0398,74.351,285251,classical
0.166,0.0551,9,-19.494,0,0.052,0.976,0.635,0.119,0.143,176.616,206520,classical
0.221,0.0612,0,-21.344,1,0.0392,0.97,0.491,0.0661,0.0692,104.181,329653,classical
0.447,0.327,4,-16.489,1,0.0432,0.864,0.0224,0.085,0.565,100.439,445624,classical
0.335,0.0118,1,-23.89,1,0.0406,0.992,0.933,0.085,0.0805,91.146,290933,classical
0.404,0.182,0,-18.564,0,0.047,0.871,0.789,0.3,0.206,98.539,418000,classical
0.491,0.0759,10,-25.558,1,0.0485,0.988,0.943,0.128,0.549,98.595,52929,classical
0.192,0.0626,11,-26.368,0,0.0371,0.953,0.9,0.147,0.0395,77.698,168085,classical
0.335,0.0287,10,-27.4,1,0.041,0.991,0.888,0.0874,0.0371,67.446,328000,classical
0.218,0.0363,7,-23.891,1,0.05,0.96,0.886,0.124,0.078,121.017,219693,classical
0.329,0.0232,2,-24.632,0,0.0372,0.993,0.922,0.0965,0.112,111.377,209693,classical
0.244,0.0739,1,-22.008,0,0.0547,0.986,0.0152,0.0832,0.0931,86.218,226028,classical
0.307,0.036,2,-28.755,0,0.0522,0.995,0.801,0.0941,0.171,138.26,211440,classical
0.498,0.00875,5,-34.43,1,0.0396,0.994,0.957,0.0836,0.289,78.711,161373,classical
0.197,0.422,0,-13.065,1,0.0423,0.513,0.555,0.284,0.0948,94.018,385070,classical
0.0875,0.112,2,-22.576,0,0.0471,0.966,0.39,0.0931,0.0394,68.218,223173,classical
0.203,0.00733,7,-36.605,1,0.0402,0.959,0.877,0.104,0.0806,62.017,241800,classical
0.202,0.174,4,-12.877,0,0.048,0.903,0.868,0.184,0.0386,126.118,186469,classical
0.382,0.0499,2,-25.262,1,0.0548,0.994,0.906,0.109,0.0779,125.903,316653,classical
0.302,0.183,3,-14.139,1,0.044,0.808,0.0198,0.17,0.111,99.064,168013,classical
0.42,0.0104,5,-23.544,0,0.0371,0.991,0.9,0.116,0.106,105.724,299467,classical
0.607,0.323,9,-17.426,1,0.0416,0.938,0.933,0.274,0.891,117.574,188000,classical
0.361,0.0437,10,-27.32,0,0.0643,0.994,0.756,0.118,0.18,162.158,107000,classical
0.307,0.00229,1,-34.977,1,0.0519,0.992,0.931,0.098,0.281,67.775,283280,classical
0.447,0.0159,2,-25.612,0,0.063,0.995,0.933,0.195,0.107,131.542,236467,classical
0.411,0.0155,5,-28.791,0,0.0406,0.995,0.88,0.0813,0.0379,97.841,198493,classical
0.414,0.0454,1,-28.278,1,0.0421,0.992,0.891,0.104,0.0388,69.508,339893,classical
0.0745,0.00696,3,-39.507,1,0.0434,0.994,0.915,0.071,0.0846,213.087,464453,classical
0.225,0.0486,3,-25.253,1,0.0609,0.873,0.0292,0.096,0.0695,98.763,232680,classical
0.307,0.0515,4,-28.493,0,0.0324,0.708,0.631,0.42,0.154,128.056,125533,classical
0.0659,0.0102,4,-34.463,0,0.0461,0.866,0.941,0.0899,0.0376,69.004,162133,classical
0.264,0.0516,4,-24.887,1,0.0433,0.992,0.894,0.0908,0.0782,70.802,171667,classical
0.35,0.118,4,-21.192,0,0.0415,0.968,0.0607,0.118,0.255,124.135,337587,classical
0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422,191000,classical
0.472,0.0284,9,-24.192,0,0.0568,0.991,0.837,0.0427,0.11,131.654,340414,classical
0.153,0.0422,7,-22.307,0,0.0367,0.964,0.887,0.0992,0.0422,83.81,290847,classical
0.527,0.0325,10,-26.594,1,0.0359,0.995,0.882,0.113,0.187,111.15,255267,classical
0.221,0.126,0,-25.367,1,0.0447,0.989,0.897,0.0769,0.216,133.564,139307,classical
0.279,0.0172,4,-27.441,1,0.035,0.994,0.885,0.077,0.0608,75.631,236600,classical
0.371,0.131,7,-23.899,0,0.0422,0.898,0.925,0.0847,0.0656,106.872,442693,classical
0.205,0.0821,3,-24.012,1,0.0482,0.958,0.933,0.0996,0.0593,68.853,201074,classical
0.354,0.0125,4,-27.577,0,0.0443,0.995,0.959,0.0782,0.0691,98.211,220560,classical
0.252,0.0578,1,-26.184,1,0.0518,0.953,0.0163,0.0721,0.0391,108.013,141707,classical
0.583,0.0238,0,-32.244,0,0.0369,0.994,0.847,0.103,0.426,108.74,131923,classical
0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,257000,classical
0.233,0.00786,7,-31.624,1,0.0528,0.958,0.905,0.106,0.0686,132.011,262000,classical
0.114,0.0701,4,-23.417,0,0.0445,0.87,0.431,0.0916,0.0371,89.33,331933,classical
